id_livro,nome_livro,autor,preco,qtd_estoque
1,Percy Jackson e o Ladrao de Raios,Rick Riordan,41.20,11
2,Sangue de Lobo,Rosana Rios,50.90,2
3,Resident Evil Caliban Cove,S.D Perry,18.00,5
4,O Simbolo Perdido,Dan Brown,60.00,9
5,Sombras e Ossos,Leigh Bardugo,28.90,7
6,Pegasus e o Fogo do Olimpo,Kate O'Hearn,24.90,8
7,Gossip Girl Nao me Esqueca,Cecily Von,26.90,4
8,Cidade das Almas Perdidas,Cassandra Clare,34.45,12
9,A Chama de Ember,Colleen Houck,39.46,1
10,A Maldicao do Tigre,Colleen Houck,60.00,6
